x_axis,channel_2,4
-3.984375,-9.6e-05,+4.646435E+00
-3.980469,-0.000106,+4.646435E+00
-3.976563,-0.000126,+4.646435E+00
-3.972656,-0.000126,+4.646435E+00
-3.96875,-0.000136,+4.646435E+00
-3.964844,-0.000126,+4.646435E+00
-3.960938,-0.000126,+4.646435E+00
-3.957031,-0.000147,+4.646435E+00
-3.953125,-0.000147,+4.646435E+00
-3.949219,-0.000167,+4.646435E+00
-3.945313,-0.000177,+4.646435E+00
-3.941406,-0.000167,+4.646435E+00
-3.9375,-0.000157,+4.646435E+00
-3.933594,-0.000147,+4.646435E+00
-3.929688,-0.000136,+4.646435E+00
-3.925781,-0.000136,+4.646435E+00
-3.921875,-0.000126,+4.646435E+00
-3.917969,-0.000136,+4.646435E+00
-3.914063,-0.000126,+4.646435E+00
-3.910156,-0.000136,+4.646435E+00
-3.90625,-0.000157,+4.646435E+00
-3.902344,-0.000157,+4.646435E+00
-3.898438,-0.000157,+4.646435E+00
-3.894531,-0.000157,+4.646435E+00
-3.890625,-0.000157,+4.646435E+00
-3.886719,-0.000147,+4.646435E+00
-3.882813,-0.000147,+4.646435E+00
-3.878906,-0.000167,+4.646435E+00
-3.875,-0.000167,+4.646435E+00
-3.871094,-0.000157,+4.646435E+00
-3.867188,-0.000147,+4.646435E+00
-3.863281,-0.000157,+4.646435E+00
-3.859375,-0.000147,+4.646435E+00
-3.855469,-0.000167,+4.646435E+00
-3.851563,-0.000157,+4.646435E+00
-3.847656,-0.000167,+4.646435E+00
-3.84375,-0.000167,+4.646435E+00
-3.839844,-0.000157,+4.646435E+00
-3.835938,-0.000147,+4.646435E+00
-3.832031,-0.000136,+4.646435E+00
-3.828125,-0.000126,+4.646435E+00
-3.824219,-0.000147,+4.646435E+00
-3.820313,-0.000147,+4.646435E+00
-3.816406,-0.000147,+4.646435E+00
-3.8125,-0.000136,+4.646435E+00
-3.808594,-0.000116,+4.646435E+00
-3.804688,-0.000116,+4.646435E+00
-3.800781,-9.6e-05,+4.646435E+00
-3.796875,-0.000106,+4.646435E+00
-3.792969,-0.000106,+4.646435E+00
